1,"""Stand Mixer""","""KithcenAid 7 Quart Rose Gold""",https://www.walmart.com/ip/KitchenAid-KSM7586PCA-Mixer-Red/153793724?wmlspartner=wlpa&selectedSellerId=101107780&adid=22222222227051759925&wl0=&wl1=g&wl2=c&wl3=538028356783&wl4=aud-1651068665186:pla-369141859823&wl5=9009732&wl6=&wl7=&wl8=&wl9=pla&wl10=507966803&wl11=online&wl12=153793724&veh=sem&gclid=CjwKCAjw-L-ZBhB4EiwA76YzOZfODjjaNYeHRD9zMuGG5m2wNpOodTFzYCP9vPTKLZ9Xh-BJsI0p6hoCaI8QAvD_BwE,579.0
2,"""Phone""","""Samsung Galaxy S92, UFO Green""",https://www.amazon.com/OxiClean-Large-Area-Carpet-Cleaner/dp/B072QZH23K/?_encoding=UTF8&pd_rd_w=NriDA&content-id=amzn1.sym.8cf3b8ef-6a74-45dc-9f0d-6409eb523603&pf_rd_p=8cf3b8ef-6a74-45dc-9f0d-6409eb523603&pf_rd_r=T24Q8S34J8WGAAZF46AM&pd_rd_wg=vOf1f&pd_rd_r=94480f51-0fe3-4970-8a05-7464db88b3d3&ref_=pd_gw_ci_mcx_mi,1500.0
3,"""Electro Guitar""","""With Extra Music""",https://www.target.com/p/women-s-janelle-dress-boots-a-new-day/-/A-85414042?preselect=85219750#lnk=sametab,3000.0
4,"""PC""","""Alienware The Chunkiest Gamebook""",,2500.0
5,"""Caramel Chocolate""",,https://www.target.com/p/skittles-38-starburst-halloween-candy-bag-fun-size-21-35oz-55ct/-/A-79712946#lnk=sametab,10.99
6,"""Love of my family""","""All the love""",,
7,"""Halloween Candy Basket""","""Pink, from Target""",https://www.target.com/p/pink-pumpkin-stackable-halloween-trick-or-treat-pail-hyde-38-eek-boutique-8482/-/A-78825582#lnk=sametab,1.0
8,"""Five Guys Burger""","""No onions, extra bacon and cheese""",,9.99
9,"""Power to rule the world""",,,
10,"""Lobster Dinner""","""Seafood fest from Red Lobster""",https://www.redlobster.com/?gclsrc=aw.ds&,36.99
11,Toaster,"4 slice, with bagel setting",www.amazon.com,35.0
12,Toaster,"4 slice, with bagel setting",www.amazon.com,35.0
13,Toaster,"4 slice, with bagel setting",www.amazon.com,35.0
14,Toaster,"4 slice, with bagel setting",www.amazon.com,35.0
15,Toaster,"4 slice, with bagel setting",www.amazon.com,35.0
16,Toaster,"4 slice, with bagel setting",www.amazon.com,35.0
18,Toaster,"4 slice, with bagel setting",www.amazon.com,35.0
